";D167;1;6;4;2;"
";J106;4;9;1;8;"
";AV144;5;2;8;1;"
";S134;9;3;6;3;"
";V110;3;3;4;3;"
";S104;1;8;8;3;"
";AM108;6;6;8;8;"
";AV153;6;6;7;9;"
";LN127;9;6;6;4;"
";LT138;2;7;7;2;"
";V174;7;6;6;6;"
";LT103;3;8;7;5;"
";LT150;8;6;2;5;"
";S124;3;6;9;8;"
";S180;9;6;7;6;"
";LN136;3;5;9;3;"
";D157;2;7;5;7;"
";LN188;6;8;9;4;"
";V122;4;7;6;2;"
";LT168;5;4;2;9;"
";AV149;6;6;5;3;"
";V160;2;4;4;1;"
";J140;3;6;2;2;"
";J130;1;6;6;3;"
";V184;7;7;5;8;"
";D146;2;7;5;8;"
";LT199;2;1;4;4;"
";LT146;8;4;1;4;"
";LN134;4;7;5;3;"
";LT105;5;2;7;2;"
";AV195;2;8;8;1;"
";AV182;8;1;9;6;"
";AM145;1;9;6;2;"
";LT177;4;9;6;2;"
";LT170;4;5;3;5;"
";LT184;3;1;8;6;"
";J136;5;4;1;7;"
";V135;9;6;7;8;"
";J140;5;3;1;5;"
";AM118;1;8;1;3;"
";J139;1;6;1;4;"
";AV150;9;9;6;3;"
";LT121;6;9;8;5;"
";AM124;3;1;4;6;"
";S101;2;2;2;1;"
";I174;5;7;3;6;"
";AM180;3;9;4;4;"
";D196;8;5;8;1;"
";D173;1;6;4;6;"
";AM144;7;9;1;3;"
";LT181;2;3;7;5;"
";D164;4;5;8;8;"
";LT109;4;7;4;8;"
";D131;8;1;4;2;"
";AV174;9;6;2;5;"
";S193;2;2;4;8;"
";LN130;5;2;9;1;"
";S129;6;8;8;5;"
";LT140;8;7;9;6;"
";AV176;7;4;4;4;"
";AM148;9;6;5;8;"
";AV113;8;9;5;1;"
";I180;5;1;3;5;"
";LN152;4;3;1;2;"
";S172;1;9;7;7;"
";I138;7;9;1;4;"
";S157;2;6;1;3;"
";AV174;6;1;5;4;"
";V165;7;2;2;3;"
";AM151;4;1;6;9;"
";AV128;3;3;8;5;"
";J175;1;6;7;3;"
";I197;7;8;1;1;"
";D176;3;1;5;1;"
";D116;7;5;7;7;"
";V195;1;8;7;4;"
";LN193;8;8;9;2;"
";D139;9;2;6;6;"
";AV197;7;7;6;2;"
";LN186;4;2;3;7;"
";J166;6;6;7;1;"
";LN189;3;3;8;5;"
";S131;3;6;2;1;"
";LN102;4;2;6;4;"
";AM127;9;9;9;7;"
";S114;5;2;6;5;"
";LN195;8;5;6;6;"
";AV166;7;4;3;9;"
";AM190;4;5;9;1;"
";S185;7;4;4;5;"
";J195;7;9;3;8;"
";S116;8;8;2;7;"
";S140;3;7;2;3;"
";LN175;8;3;9;8;"
";AV134;8;8;6;8;"
";S176;9;8;6;3;"
";S161;9;4;9;4;"
";I164;7;8;7;9;"
";V155;4;5;8;4;"
";V101;5;8;2;5;"
